Machine,Position,PartNumber,Qty,Error code,Cause,Job
NXT6,M01-01,28-HB0180-JCXVT,8,8000D701,"Processing error (shared):
Unable to find a part.",55GTU2-lot 1$MODEL1$Original setup T 01
NXT6,M01-10,EAE60663801,11,8000D701,"Processing error (shared):
Unable to find a part.","55NANO$MODEL1$Original setup T 1,50UT$MODEL1$Original setup T 1,55NANO-lot46$MODEL1$Original setup T 1"
NXT6,M01-10,004.002.0001423,7,8000D701,"Processing error (shared):
Unable to find a part.",40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-10,13-TU0000-RT720VT,5,8000D701,"Processing error (shared):
Unable to find a part.",43GTF4 LOT 01$MODEL1$Original setup T V1
NXT6,M01-10,0RJ4702C478,1,80003411,Parts rejected due to machine condition,50UT$MODEL1$Original setup T 1
NXT6,M01-10,EAE60663801,1,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,50UT$MODEL1$Original setup T 1
NXT6,M01-11,28-HF0016-MS01JR,36,80003411,Parts rejected due to machine condition,50GTU4-lot 1--test4$MODEL1$Original setup T 01
NXT6,M01-11,28-HF0016-MS01JR,15,8000D701,"Processing error (shared):
Unable to find a part.",50GTU4-lot 1--test4$MODEL1$Original setup T 02
NXT6,M01-11,28-HF0016-MS01JR,2,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,"50GTU4-lot 1--test4$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 02"
NXT6,M01-11,0RJ3901C478,1,8000D701,"Processing error (shared):
Unable to find a part.",50UT$MODEL1$Original setup T 1
NXT6,M01-12,0RJ3002C478,12,8000D701,"Processing error (shared):
Unable to find a part.","55NANO$MODEL1$Original setup T 1,50UT$MODEL1$Original setup T 1,55UT$MODEL1$Original setup T 1"
NXT6,M01-12,004.004.0000114,12,8000D701,"Processing error (shared):
Unable to find a part.",40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-12,19-GA0472-FTXVT,3,8000D701,"Processing error (shared):
Unable to find a part.",43GTF4 LOT 01$MODEL1$Original setup T V1
NXT6,M01-12,004.004.0000114,1,80003411,Parts rejected due to machine condition,40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-13,0RJ1203C478,8,8000D701,"Processing error (shared):
Unable to find a part.",55NANO-lot46$MODEL1$Original setup T 1
NXT6,M01-13,0RJ1203C478,2,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.","50UT$MODEL1$Original setup T 1,OLED65CS4VA opt test$MODEL1$Original setup T 1"
NXT6,M01-13,19-GA5360-FTX01JR,2,80003411,Parts rejected due to machine condition,50GTU4-lot 1--test4$MODEL1$Original setup T 01
NXT6,M01-13,19-GA5360-FTX01JR,1,8000D701,"Processing error (shared):
Unable to find a part.",50GTU4-lot 1$MODEL1$Original setup T 01
NXT6,M01-13,004.004.0000087,1,8000D701,"Processing error (shared):
Unable to find a part.",40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-13,004.004.0000087,1,80003411,Parts rejected due to machine condition,40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-13,19-GA0433-FTX82VT,1,8000D701,"Processing error (shared):
Unable to find a part.",43GTF4 LOT 01$MODEL1$Original setup T V1
NXT6,M01-14,19-GA0392-FTXVT,20,8000D701,"Processing error (shared):
Unable to find a part.","55GTU2-lot 1$MODEL1$Original setup T 01,43GTF4 LOT 01$MODEL1$Original setup T V1"
NXT6,M01-14,0RJ6801C478,10,8000D701,"Processing error (shared):
Unable to find a part.","55UT$MODEL1$Original setup T 1,65NANO$MODEL1$Original setup T 1"
NXT6,M01-14,28-BB0225-KS01JR,5,8000D701,"Processing error (shared):
Unable to find a part.","50GTU4-lot 1--test4$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 02"
NXT6,M01-14,28-BB0225-KS01JR,2,80003411,Parts rejected due to machine condition,50GTU4-lot 1--test4$MODEL1$Original setup T 01
NXT6,M01-14,004.003.0000556,1,8000D701,"Processing error (shared):
Unable to find a part.",40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-14,004.003.0000556,1,80003411,Parts rejected due to machine condition,40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-15,19-GA0363-FTX10VT,9,8000D701,"Processing error (shared):
Unable to find a part.",43GTF4 LOT 01$MODEL1$Original setup T V1
NXT6,M01-15,0RJ2701C478,6,8000D701,"Processing error (shared):
Unable to find a part.",50UT$MODEL1$Original setup T 1
NXT6,M01-15,28-HB0474-KS01JR,2,80003411,Parts rejected due to machine condition,50GTU4-lot 1--test4$MODEL1$Original setup T 01
NXT6,M01-15,004.002.0000612,2,8000D701,"Processing error (shared):
Unable to find a part.",40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-15,19-GA0363-FTX10VT,1,80003410,Parts are being picked shifted in the Q-direction above the tolerance specified in part data for the part.,43GTF4 LOT 01$MODEL1$Original setup T V1
NXT6,M01-16,19-GA0330-JTXVT,10,8000D701,"Processing error (shared):
Unable to find a part.","55GTU2-lot 1$MODEL1$Original setup T 01,43GTF4 LOT 01$MODEL1$Original setup T V1"
NXT6,M01-16,0RJ5101C478,8,8000D701,"Processing error (shared):
Unable to find a part.","55NANO$MODEL1$Original setup T 1,50UT$MODEL1$Original setup T 1,55UT$MODEL1$Original setup T 1,65NANO$MODEL1$Original setup T 1"
NXT6,M01-16,19-GA0330-JTXVT,2,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.","43GTF4 LOT 01$MODEL1$Original setup T V1,55GTU2-lot 1$MODEL1$Original setup T 01"
NXT6,M01-16,004.002.0000646,1,8000D701,"Processing error (shared):
Unable to find a part.",40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-17,28-HF0106-MSX44VT,54,8000D727,Processing error. The part is incorrect. (Non leaded part),43GTF4 LOT 01$MODEL1$Original setup T V1
NXT6,M01-17,28-HF0106-MSX44VT,10,8000D701,"Processing error (shared):
Unable to find a part.",43GTF4 LOT 01$MODEL1$Original setup T V1
NXT6,M01-17,0RJ6201C478,6,8000D701,"Processing error (shared):
Unable to find a part.","55UT$MODEL1$Original setup T 1,75UT$MODEL1$Original setup T 1"
NXT6,M01-17,0RJ6201C478,2,8000D720,"Processing error (non leaded part)
 Part body size X tolerance error.","50UT$MODEL1$Original setup T 1,55UT$MODEL1$Original setup T 1"
NXT6,M01-17,004.002.0000573,2,8000D701,"Processing error (shared):
Unable to find a part.",40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-17,0RJ6201C478,1,8000340E,The part has been picked up with misalignment in the X-direction that is greater than the tolerance level specified in part data.,65NANO$MODEL1$Original setup T 1
NXT6,M01-18,004.004.0001835(004.004.0000647),21,8000D701,"Processing error (shared):
Unable to find a part.",40-43D10 6Module$MODEL1$Original setup T 02
NXT6,M01-18,0RJ1003C678,11,8000D701,"Processing error (shared):
Unable to find a part.","55NANO$MODEL1$Original setup T 1,OLED65CS4VA opt test$MODEL1$Original setup T 1,55UT$MODEL1$Original setup T 1,65UT$MODEL1$Original setup T 1,OLED65CS4VA$MODEL1$Original setup T 2"
NXT6,M01-18,19-GA0519-JTXVT,9,8000D701,"Processing error (shared):
Unable to find a part.",43GTF4 LOT 01$MODEL1$Original setup T V1
NXT6,M01-18,45-OS27M0-XYF01JR,6,8000D701,"Processing error (shared):
Unable to find a part.","50GTU4-lot 1$MODEL1$Original setup T 01,50GTU4-lot 1--test4$MODEL1$Original setup T 01"
NXT6,M01-18,45-OS27M0-XYF01JR,2,80003411,Parts rejected due to machine condition,50GTU4-lot 1--test4$MODEL1$Original setup T 01
NXT6,M01-18,45-OS27M0-XYF01JR,2,8000340E,The part has been picked up with misalignment in the X-direction that is greater than the tolerance level specified in part data.,50GTU4-lot 1--test4$MODEL1$Original setup T 01
NXT6,M01-18,004.004.0001835(004.004.0000647),2,80003411,Parts rejected due to machine condition,40-43D10 6Module$MODEL1$Original setup T 02
