PartNumber,Shape,VT,SizeX,SizeY,Height,FIDL,Position,Pickup,NoPick,Usage,Reject,Error,Dislodge,Rescan,LCR,Pickup Rate,Reject Rate,Error Rate,Dislodge Rate,Success Rate
004.002.0000050,R-1206,60,3.048,1.524,0.57,"KT8FL J79522,KT8FL K08124,KT8FL K08130,KT8FL K08166,KT8FL K14374,KT8FL K14377",M3-20,25033,48,24985,0,154,199,0,0,99.2,0,0.62,0.8,98.59
004.002.0000062,R-1206,60,3.048,1.524,0.57,"KT8FL J79525,KT8FL K14339,KT8FL K14343",M3-17,12318,0,12318,0,0,2,0,0,99.98,0,0,0.02,99.98
004.002.0000063,R-0805,60,2.03,1.27,0.53,"KT8FL K08038,KT8FL K08129",M5-38,6165,0,6165,0,2,5,0,0,99.92,0,0.03,0.08,99.89
004.002.0000065,R-1206,60,3.048,1.524,0.57,"KT8FL J79525,KT8FL K08122,KT8FL K14223,KT8FL K31758",M3-7,18476,0,18476,0,0,2,0,0,99.99,0,0,0.01,99.99
004.002.0000067,R-0805,60,2.03,1.27,0.53,"KT8FL K14218,KT8FL K14222",M3-33,6177,0,6177,0,16,3,0,0,99.95,0,0.26,0.05,99.69
004.002.0000076,R-0805,60,2.03,1.27,0.53,"KT8FL K08033,KT8FL K08106",M5-40,6164,0,6164,0,6,0,0,0,100,0,0.1,0,99.9
004.002.0000077,R-0805,60,2.03,1.27,0.53,"KT8FL K08070,KT8FL K08168",M5-43,6170,0,6170,0,11,1,0,0,99.98,0,0.18,0.02,99.81
004.002.0000089,R-1206,60,3.048,1.524,0.57,"KT8FL J79406,KT8FL J79412,KT8FL K08128,KT8FL K08175,KT8FL K14222,KT8FL K14223,KT8FL K31622,KT8FL K31623","M2-2,M2-21",43132,8,43124,0,3,15,0,0,99.97,0,0.01,0.03,99.96
004.002.0000110,R-0805,60,2.03,1.27,0.53,"KT8FL K14218,KT8FL K14225",M5-42,6167,0,6167,0,8,1,0,0,99.98,0,0.13,0.02,99.85
004.002.0000121,R-1206,60,3.048,1.524,0.57,"KT8FL K08043,KT8FL K14223,KT8FL K31627",M3-28,12339,6,12333,0,3,14,0,0,99.89,0,0.02,0.11,99.86
004.002.0000122,R-1206,60,3.048,1.524,0.57,"KT8FL J79415,KT8FL K08028,KT8FL K08124,KT8FL K08187,KT8FL K14331",M2-3,18482,0,18482,0,2,6,0,0,99.97,0,0.01,0.03,99.96
004.002.0000123,R-1206,60,3.048,1.524,0.57,"KT8FL K08003,KT8FL K08036,KT8FL K08133,KT8FL K08143,KT8FL K08148,KT8FL K08180,KT8FL K14343,KT8FL K31755",M3-21,37022,69,36953,0,0,5,0,0,99.99,0,0,0.01,99.99
004.002.0000151,R-0805,60,2.03,1.27,0.53,"KT8FL K14217,KT8FL K14349",M4-39,6160,0,6160,0,0,2,0,0,99.97,0,0,0.03,99.97
004.002.0000155,R-1206,60,3.048,1.524,0.57,"KT8FL J79522,KT8FL K08006,KT8FL K14335,KT8FL K14381,KT8FL K14395",M2-20,24646,0,24646,0,3,11,0,0,99.96,0,0.01,0.04,99.94
004.002.0000208,R-0603,60,1.524,0.762,0.49,"KT8FL K08143,KT8FL K08180",M3-34,6166,0,6166,0,7,1,0,0,99.98,0,0.11,0.02,99.87
004.002.0000218,R-1206,60,3.048,1.524,0.57,"KT8FL K08068,KT8FL K08142,KT8FL K08187,KT8FL K08198,KT8FL K14380",M3-19,18494,12,18482,0,2,6,0,0,99.97,0,0.01,0.03,99.96
