Unix,Date,Symbol,Open,High,Low,Close,Volume 1INCH,Volume BTC,tradecount
1677542400000,2023-02-28,1INCHBTC,2.464e-05,2.494e-05,2.434e-05,2.465e-05,180356.4,4.4402141,1507
1677456000000,2023-02-27,1INCHBTC,2.476e-05,2.504e-05,2.42e-05,2.464e-05,462133.3,11.36208127,3048
1677369600000,2023-02-26,1INCHBTC,2.51e-05,2.577e-05,2.433e-05,2.473e-05,313277.2,7.83695251,3119
1677283200000,2023-02-25,1INCHBTC,2.59e-05,2.595e-05,2.473e-05,2.511e-05,254662.1,6.48118186,2253
1677196800000,2023-02-24,1INCHBTC,2.587e-05,2.61e-05,2.537e-05,2.592e-05,323018.3,8.32982507,2955
1677110400000,2023-02-23,1INCHBTC,2.656e-05,2.671e-05,2.548e-05,2.588e-05,415584.5,10.82737274,3847
1677024000000,2023-02-22,1INCHBTC,2.807e-05,2.807e-05,2.638e-05,2.653e-05,649955.4,17.55591484,6032
1676937600000,2023-02-21,1INCHBTC,2.473e-05,2.855e-05,2.42e-05,2.81e-05,2239142.1,59.75378327,15114
1676851200000,2023-02-20,1INCHBTC,2.367e-05,2.488e-05,2.358e-05,2.464e-05,670174.5,16.28536249,4740
1676764800000,2023-02-19,1INCHBTC,2.335e-05,2.433e-05,2.305e-05,2.368e-05,706110.7,16.6471372,4301
1676678400000,2023-02-18,1INCHBTC,2.314e-05,2.362e-05,2.299e-05,2.335e-05,290880.0,6.78917601,2341
1676592000000,2023-02-17,1INCHBTC,2.302e-05,2.351e-05,2.28e-05,2.309e-05,462587.4,10.73555553,2934
1676505600000,2023-02-16,1INCHBTC,2.332e-05,2.336e-05,2.248e-05,2.304e-05,479592.6,10.96028667,2497
1676419200000,2023-02-15,1INCHBTC,2.433e-05,2.446e-05,2.301e-05,2.329e-05,632244.9,14.8182479,3652
1676332800000,2023-02-14,1INCHBTC,2.438e-05,2.466e-05,2.402e-05,2.431e-05,200814.4,4.89688185,3700
1676246400000,2023-02-13,1INCHBTC,2.441e-05,2.486e-05,2.379e-05,2.432e-05,245506.0,5.9758279,2837
1676160000000,2023-02-12,1INCHBTC,2.472e-05,2.49e-05,2.41e-05,2.447e-05,242376.6,5.96412136,3079
1676073600000,2023-02-11,1INCHBTC,2.458e-05,2.479e-05,2.431e-05,2.472e-05,62696.9,1.53772573,1013
1675987200000,2023-02-10,1INCHBTC,2.413e-05,2.488e-05,2.395e-05,2.458e-05,202911.8,4.94745139,1777
1675900800000,2023-02-09,1INCHBTC,2.463e-05,2.5e-05,2.361e-05,2.418e-05,567642.5,13.76908674,4446
1675814400000,2023-02-08,1INCHBTC,2.524e-05,2.549e-05,2.406e-05,2.461e-05,391087.1,9.72223885,2090
1675728000000,2023-02-07,1INCHBTC,2.437e-05,2.539e-05,2.394e-05,2.521e-05,470927.4,11.62608319,3956
1675641600000,2023-02-06,1INCHBTC,2.444e-05,2.595e-05,2.432e-05,2.436e-05,351186.1,8.76340314,3257
1675555200000,2023-02-05,1INCHBTC,2.496e-05,2.662e-05,2.324e-05,2.443e-05,938738.3,23.87053239,6293
1675468800000,2023-02-04,1INCHBTC,2.416e-05,2.576e-05,2.365e-05,2.491e-05,580699.4,14.4121246,4488
1675382400000,2023-02-03,1INCHBTC,2.298e-05,2.422e-05,2.284e-05,2.414e-05,463200.1,10.91184626,3300
1675296000000,2023-02-02,1INCHBTC,2.232e-05,2.4e-05,2.202e-05,2.303e-05,594475.0,13.64993692,3682
