JobFolder;;;;;;;;;;;;;;;;;;;;;;;
\DONGLE;DONGLE-DUAL;1;5/29/2025 15:06;;ghemmal;Line12;OR01;0;138.8;143.2;1.2;1;1;0;0;;;;;;;;
LineName;OrderNum;ModelName;ModuleNumber;SideNo;AVLNAME;AVL;PartNumber;FeederName;Status;Location;FeederID;PartNumberImage;PartShapeName;PackageName;PartComment;PMABAR;ChuteType;FeederType;TapeWidth;FeedPitch;PTPMNH;QTY;PMADC
Line12;1;NXT12;1;0;;;;;Variable;'01;11001;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'02;11002;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'03;11003;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'04;11004;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'05;11005;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'06;11006;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'07;11007;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'08;11008;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'09;11009;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'10;11010;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'11;11011;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'12;11012;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'13;11013;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'14;11014;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'15;11015;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'16;11016;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'17;11017;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'18;11018;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;1201-AA3030-F10A;KT-0800F-180;Fixed;'19;11019;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;1;0;;;1201-AA4700-J10A;KT-0800F-180;Fixed;'20;11020;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;1;0;;;1201-AA4710-F10A;KT-0800F-180;Fixed;'21;11021;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;1;0;;;1201-AA5120-F10A;KT-0800F-180;Fixed;'22;11022;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;1;0;;;1301-A2D102-K50A;KT-0800F-180;Fixed;'23;11023;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;1;0;;;1201-AA0000-J10A;KT-0800F-180;Fixed;'24;11024;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;1;0;;;1201-AA1230-F10A;KT-0800F-180;Fixed;'25;11025;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;1;0;;;1201-AA2230-F10A;KT-0800F-180;Fixed;'26;11026;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;1;0;;;;;Variable;'27;11027;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'28;11028;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'29;11029;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'30;11030;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'31;11031;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'32;11032;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'33;11033;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'34;11034;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'35;11035;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'36;11036;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'37;11037;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Reserved;'38;11038;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'39;11039;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'40;11040;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'41;11041;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'42;11042;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'43;11043;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'44;11044;;;;;;;;;;;0;
Line12;1;NXT12;1;0;;;;;Variable;'45;11045;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'01;21001;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'02;21002;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'03;21003;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'04;21004;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'05;21005;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'06;21006;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'07;21007;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'08;21008;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'09;21009;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'10;21010;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'11;21011;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'12;21012;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'13;21013;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'14;21014;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'15;21015;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'16;21016;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'17;21017;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'18;21018;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'19;21019;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'20;21020;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'21;21021;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;1201-AA2210-J10A;KT-0800F-180;Fixed;'22;21022;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
