JobFolder,JobName,Revision,ModifiedDate,Comments,Product,LogOnUser,Line,SetupName,TopBottom,PanelLength,PanelWidth,PanelThickness,ImportCad,ImportBom,Optimize,Datacheck,,,,,,,,
\D10,40-43D10 6Module,2,4/30/2025 19:05,,MODEL1,TOUMI,Line6,Original setup,0,299,250,1.6,1,1,0,0,,,,,,,,
LineName,OrderNum,ModelName,ModuleNumber,SideNo,SetupName,AVLNAME,AVL,PartNumber,FeederName,Status,Location,FeederID,PartNumberImage,PartShapeName,PackageName,PartComment,PMABAR,ChuteType,FeederType,TapeWidth,FeedPitch,PTPMNH,QTY,PMADC
Line6,1,NXT6,1,0,Original setup,,,,,Variable,'01,11001,,,,,,,,,,,0,
Line6,1,NXT6,1,0,Original setup,,,,,Variable,'02,11002,,,,,,,,,,,0,
Line6,1,NXT6,1,0,Original setup,,,,,Variable,'03,11003,,,,,,,,,,,0,
Line6,1,NXT6,1,0,Original setup,,,,,Variable,'04,11004,,,,,,,,,,,0,
Line6,1,NXT6,1,0,Original setup,,,,,Variable,'05,11005,,,,,,,,,,,0,
Line6,1,NXT6,1,0,Original setup,,,,,Variable,'06,11006,,,,,,,,,,,0,
Line6,1,NXT6,1,0,Original setup,,,,,Variable,'07,11007,,,,,,,,,,,0,
Line6,1,NXT6,1,0,Original setup,,,,,Variable,'08,11008,,,,,,,,,,,0,
Line6,1,NXT6,1,0,Original setup,,,,,Variable,'09,11009,,,,,,,,,,,0,
Line6,1,NXT6,1,0,Original setup,,,004.002.0001423,KT-0800F-180,Fixed,'10,11010,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0001423.bmp,R-0402-S,P0802,,,,Paper,8mm,2,0.33,10,0
Line6,1,NXT6,1,0,Original setup,,,004.003.0000545,KT-0800F-180,Variable,'11,11011,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.003.0000545.bmp,C-0402,P0802,,,,Paper,8mm,2,0.49,2,0
Line6,1,NXT6,1,0,Original setup,,,004.004.0000114,KT-0800F-180,Variable,'12,11012,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.004.0000114.bmp,C-0402,P0802,,,,Paper,8mm,2,0.49,2,0
Line6,1,NXT6,1,0,Original setup,,,004.004.0000087,KT-0800F-180,Variable,'13,11013,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.004.0000087.bmp,C-0402,P0802,,,,Paper,8mm,2,0.49,2,0
