JobFolder,JobName,Revision,ModifiedDate,Comments,Product,LogOnUser,Line,SetupName,TopBottom,PanelLength,PanelWidth,PanelThickness,ImportCad,ImportBom,Optimize,Datacheck
"\GOOGLE","50GTU4-lot 1--test4","02","2025/04/30 19:07:17","","MODEL1","TOUMI","Line6","Original setup","0","321","210","1.6","1","1","1","1",
LineName,OrderNum,ModelName,ModuleNumber,SideNo,SetupName,AVLNAME,AVL,PartNumber,FeederName,Status,Location,FeederID,PartNumberImage,PartShapeName,PackageName,PartComment,PMABAR,ChuteType,FeederType,TapeWidth,FeedPitch,PTPMNH,QTY,PMADC
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'01","11001","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'02","11002","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'03","11003","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'04","11004","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'05","11005","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'06","11006","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'07","11007","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'08","11008","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'09","11009","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'10","11010","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","28-HF0016-MS01JR","KT-0800F-180","Variable","'11","11011","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HF0016-MS01JR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","28","0",
"Line6","1","NXT6","1","0","Original setup","","","19-GA1243-FTX01JR","KT-0800F-180","Variable","'12","11012","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA1243-FTX01JR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","2","0",
"Line6","1","NXT6","1","0","Original setup","","","19-GA5360-FTX01JR","KT-0800F-180","Variable","'13","11013","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA5360-FTX01JR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","2","0",
"Line6","1","NXT6","1","0","Original setup","","","28-BB0225-KS01JR","KT-0800F-180","Variable","'14","11014","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-BB0225-KS01JR.bmp","C-0805","E0804","","","","Emboss","8mm","4","0.87","2","0",
"Line6","1","NXT6","1","0","Original setup","","","28-HB0474-KS01JR","KT-0800F-180","Variable","'15","11015","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HB0474-KS01JR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","2","0",
"Line6","1","NXT6","1","0","Original setup","","","33-VHL227-JT01JR","KT-0800F-180","Variable","'16","11016","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\33-VHL227-JT01JR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","2","0",
"Line6","1","NXT6","1","0","Original setup","","","33-VHL68X-JTXJR","KT-0800F-180","Variable","'17","11017","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\33-VHL68X-JTXJR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","2","0",
"Line6","1","NXT6","1","0","Original setup","","","45-OS27M0-XYF01JR","KT-0800F-180","Variable","'18","11018","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\45-OS27M0-XYF01JR.bmp","QUARTS 3.1X2.4X0.7","E0804","","","","Emboss","8mm","4","0.7","2","0",
"Line6","1","NXT6","1","0","Original setup","","","13-PWLP32-20AB5FJR","KT-0800F-180","Variable","'19","11019","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\13-PWLP32-20AB5FJR.bmp","SOT23-5","E0804","","","","Emboss","8mm","4","1.25","2","0",
"Line6","1","NXT6","1","0","Original setup","","","19-GA0163-FTX01JR","KT-0800F-180","Variable","'20","11020","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0163-FTX01JR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","4","0",
"Line6","1","NXT6","1","0","Original setup","","","19-GA0560-JTX01JR","KT-0800F-180","Variable","'21","11021","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0560-JTX01JR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","48","0",
"Line6","1","NXT6","1","0","Original setup","","","19-GA0000-JTXJR","KT-0800F-180","Variable","'22","11022","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0000-JTXJR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","92","0",
"Line6","1","NXT6","1","0","Original setup","","","28-HC1003-KRX1JR","KT-0800F-180","Variable","'23","11023","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HC1003-KRX1JR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","264","0",
"Line6","1","NXT6","1","0","Original setup","","","19-GA0101-JTXJR","KT-0800F-180","Variable","'24","11024","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0101-JTXJR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","66","0",
"Line6","1","NXT6","1","0","Original setup","","","33-VLN102-NTXJR","KT-0800F-180","Variable","'25","11025","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\33-VLN102-NTXJR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","4","0",
"Line6","1","NXT6","1","0","Original setup","","","13-SWSTI9-712000JR","KT-0800F-180","Variable","'26","11026","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\13-SWSTI9-712000JR.bmp","SOT23-5","E0804","","","","Emboss","8mm","4","1.25","2","0",
"Line6","1","NXT6","1","0","Original setup","","","13-VDJW53-72TSOTJR","KT-0800F-180","Variable","'27","11027","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\13-VDJW53-72TSOTJR.bmp","SOT23-6","E0804","","","","Emboss","8mm","4","1.1","2","0",
"Line6","1","NXT6","1","0","Original setup","","","19-GA0104-JTXJR","KT-0800F-180","Variable","'28","11028","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0104-JTXJR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","2","0",
